TIMESTAMP_START,TIMESTAMP_END,P_F,P_F_actual,TA_F,SW_IN_F_j_m,SW_IN_F,VPD_Kpa,VPD_F,WS_F,USTAR,PPFD_IN,CO2_F,PA_F,RH,Salinity,Water_depth_placeholder
4/30/2024 19:00,4/30/2024 19:30,0,10,25.29218445,559384,155.3844444,0.421561601,4.215616009,6.699629059,,75.61748062,410,100.9085117,86.92155024,37,2
4/30/2024 19:30,4/30/2024 20:00,0,10,24.98820648,357536.75,99.31576389,0.366424461,3.664244608,6.397818799,,63.01456718,410,100.9488477,88.42463067,37,2
4/30/2024 20:00,4/30/2024 20:30,0,10,24.68422852,155689.5,43.24708333,0.312190622,3.12190622,6.09601723,,50.41165375,410,100.9891836,89.95745799,37,2
4/30/2024 20:30,4/30/2024 21:00,0.000428408,10,24.53032074,77844.75,21.62354167,0.285031323,2.850313229,5.868565223,,37.80874031,410,101.0019414,90.74642039,37,2
4/30/2024 21:00,4/30/2024 21:30,0.000856817,10,24.37641296,0,0,0.258099007,2.58099007,5.651424965,,25.20582687,410,101.0146992,91.54328721,37,2
4/30/2024 21:30,4/30/2024 22:00,0.000428408,10,24.36313019,-0.25,-6.94E-05,0.255006708,2.550067077,5.767668561,,12.60291344,410,101.0543828,91.63796233,37,2
4/30/2024 22:00,4/30/2024 22:30,0,10,24.34984741,-0.5,-0.000138889,0.251915952,2.519159518,5.906954684,,0,410,101.0940664,91.73274208,37,2
4/30/2024 22:30,4/30/2024 23:00,0,10,24.3357254,-0.25,-6.94E-05,0.244104479,2.441044791,6.20026199,,0,410,101.0898379,91.98231989,37,2
4/30/2024 23:00,4/30/2024 23:30,0,10,24.32160339,0,0,0.236286345,2.362863452,6.496549508,,0,410,101.0856094,92.23254405,37,2
4/30/2024 23:30,5/1/2024 0:00,0.000264496,10,24.32517395,0,0,0.229989543,2.29989543,6.356870285,,0,410,101.0857363,92.44115535,37,2
5/1/2024 0:00,5/1/2024 0:30,0.000528991,10,24.32874451,0,0,0.22367785,2.236778495,6.228165643,0.3394798,0,410,101.0858633,92.65016709,37,2
5/1/2024 0:30,5/1/2024 1:00,0.003799796,10,24.35767517,0.5,0.000138889,0.219622427,2.196224268,6.153940259,0.32575628,0,410,101.0804277,92.79591203,37,2
5/1/2024 1:00,5/1/2024 1:30,0.007070601,10,24.38660583,1,0.000277778,0.215548034,2.155480338,6.100516649,0.31203276,0,410,101.0749922,92.94179307,37,2
5/1/2024 1:30,5/1/2024 2:00,0.113421678,10,24.58240662,0.5,0.000138889,0.23881697,2.3881697,5.961100974,0.30231616,0,410,101.0167031,92.27087399,37,2
5/1/2024 2:00,5/1/2024 2:30,0.219772756,10,24.7782074,0,0,0.262405359,2.624053588,5.82288915,0.29259956,0,410,100.9584141,91.60616584,37,2
5/1/2024 2:30,5/1/2024 3:00,0.173253566,10,24.66919861,0,0,0.215506511,2.155065105,5.789487181,0.29571712,0,410,100.9307148,93.06136622,37,2
5/1/2024 3:00,5/1/2024 3:30,0.126734376,10,24.56018982,0,0,0.168506796,1.685067964,5.757049562,0.29883468,0,410,100.9030156,94.53916275,37,2
