TIMESTAMP_START,TIMESTAMP_END,P_F,TA_F,SW_IN_F,VPD_F,WS_F,USTAR,PPFD_IN,CO2_F,PA_F,RH,LE_flux,LE_flux_pos,SF_2,SF_3,SF_5,SF_6,SF_7,SF_8
4/28/2010 0:00,4/28/2010 0:30,0,18.685,0,8.026011204,5.792877122,0.16859645,0,400,101.4537734,62.915,-91.75194444,91.75194444,0,0,0,0,0,0
4/28/2010 0:30,4/28/2010 1:00,0,18.67,0,7.52895861,5.41478958,0.18918791,0,400,101.446834,64.94,-96.30541667,96.30541667,0,0,0,0,0,0
4/28/2010 1:00,4/28/2010 1:30,0,18.57,0,8.139527418,5.091174038,0.20977938,0,400,101.4398945,62.07,-100.8588889,100.8588889,0,0,0,0,0,0
4/28/2010 1:30,4/28/2010 2:00,0,18.935,0,8.179699045,4.693030423,0.21527678,0,400,101.4617031,61.985,-107.1775,107.1775,0,0,0,0,0,0
4/28/2010 2:00,4/28/2010 2:30,0,19.07,0,8.926764327,4.346141677,0.22077417,0,400,101.4835117,59.595,-113.4961111,113.4961111,0,0,0,0,0,0
4/28/2010 2:30,4/28/2010 3:00,0,18.96,0,8.451490902,4.148869922,0.22422212,0,400,101.4747363,61.615,-113.8355556,113.8355556,0,0,0,0,0,0
4/28/2010 3:00,4/28/2010 3:30,0,18.75,0,7.810728446,4.003456877,0.22767007,0,400,101.4659609,64.03,-114.175,114.175,0,0,0,0,0,0
4/28/2010 3:30,4/28/2010 4:00,0,18.505,0,7.398918846,4.082213307,0.22509706,0,400,101.4672109,65.645,-114.5316667,114.5316667,0,0,0,0,0,0
4/28/2010 4:00,4/28/2010 4:30,0,18.24,0,7.462539932,4.21302149,0.22252405,0,400,101.4684609,64.55,-114.8883333,114.8883333,0,0,0,0,0,0
4/28/2010 4:30,4/28/2010 5:00,0,18.01,0,7.315964241,4.485096846,0.21552792,0,400,101.4787305,64.82,-112.7940278,112.7940278,0,0,0,0,0,0
4/28/2010 5:00,4/28/2010 5:30,0,17.755,0,6.718013947,4.826943922,0.2085318,0.0025,400,101.489,67.265,-110.6997222,110.6997222,0,0,0,0,0,0
4/28/2010 5:30,4/28/2010 6:00,0,17.62,0,6.295006223,5.238201535,0.20163095,0.0165,400,101.5193164,68.705,-106.4908333,106.4908333,0,0.000230018,0,0,0,0
4/28/2010 6:00,4/28/2010 6:30,0,17.745,0,6.293568673,5.715342847,0.1947301,0.032,400,101.5496328,68.94,-102.2819444,102.2819444,0,0.003131882,0,0,0,0
4/28/2010 6:30,4/28/2010 7:00,0,17.745,9.196892,6.451472122,5.764134933,0.19704509,6.4325,400,101.5793281,68.2,-99.04930556,99.04930556,0,0.003947038,0.000387208,0,0,0
4/28/2010 7:00,4/28/2010 7:30,0,18.335,18.393784,7.025947012,5.83107635,0.19936007,79.815,400,101.6090234,65.835,-95.81666667,95.81666667,0,0.003399041,0.001225914,0,0,0
4/28/2010 7:30,4/28/2010 8:00,0,19.085,95.89564,8.304138398,5.857130024,0.20457423,228.5,400,101.6453711,61.65,-101.7733333,101.7733333,0,0.003670813,0.003580814,0,0,0
4/28/2010 8:00,4/28/2010 8:30,0,20.025,173.39749,9.256115245,5.90361704,0.20978838,442.9,400,101.6817188,59.17,-107.73,107.73,0,0.005690764,0.01731241,0.001694983,0,0.001142116
4/28/2010 8:30,4/28/2010 9:00,0,20.655,284.67554,10.61425614,5.810425688,0.20411038,690.35,400,101.7078809,55.565,-120.4848611,120.4848611,0.00087309,0.005690764,0.039002608,0.004697346,0,0.003149893
4/28/2010 9:00,4/28/2010 9:30,0,20.72,395.9536,11.19378473,5.731004557,0.19843239,833.2,400,101.734043,54.305,-133.2397222,133.2397222,0.004971866,0.005390393,0.049366123,0.014569432,0.002293216,0.008415412
4/28/2010 9:30,4/28/2010 10:00,0,21.72,504.5254,11.97817098,5.560265279,0.18892696,1072.5,400,101.7510411,52.405,-146.9356944,146.9356944,0.009167919,0.007892986,0.049790785,0.024840175,0.01106975,0.011524425
4/28/2010 10:00,4/28/2010 10:30,0,21.855,613.09717,13.07536231,5.404792575,0.17942154,1415,400,101.7680391,49.745,-160.6316667,160.6316667,0.009814523,0.011315169,0.070120999,0.029372359,0.017082046,0.013611397
4/28/2010 10:30,4/28/2010 11:00,0,22.185,704.14844,13.35677021,5.262052119,0.17180827,1586,400,101.7794727,49.98,-173.9630556,173.9630556,0.011140388,0.010256343,0.078751937,0.028975728,0,0.01064084
4/28/2010 11:00,4/28/2010 11:30,0,22.225,795.1997,14.0573227,5.130944512,0.164195,1745.5,400,101.7909063,47.345,-187.2944444,187.2944444,0.016479954,0.007568139,0.060103135,0.033914922,0,0.007562744
4/28/2010 11:30,4/28/2010 12:00,0,22.41,860.2261,13.83984156,5.097031433,0.16002718,1871,400,101.8010059,48.495,-199.1638889,199.1638889,0.022367335,0.005994828,0.057238471,0.037192355,0.007688107,0.013213075
4/28/2010 12:00,4/28/2010 12:30,0,21.945,925.25244,12.92360536,5.074544452,0.15585935,1963.5,400,101.8111055,51.71,-211.0333333,211.0333333,0.027895502,0.011674022,0.053054261,0.045665605,0.01412855,0.025045751
4/28/2010 12:30,4/28/2010 13:00,0,22.315,957.62744,13.19761844,5.06412554,0.15431875,2024.5,400,101.7970157,50.63,-217.8638889,217.8638889,0.03012569,0.011315169,0.044210699,0.047007325,0.008961896,0.02217605
4/28/2010 13:00,4/28/2010 13:30,0,22.56,990.00244,13.98289499,5.072916226,0.15277815,2050.5,400,101.7829258,48.19,-224.6944444,224.6944444,0.03287805,0.011674022,0.039667865,0.042378337,0.008298489,0.020257837
4/28/2010 13:30,4/28/2010 14:00,0,22.815,987.2648,13.30550534,4.894876757,0.16953194,2016,400,101.7551485,51.755,-221.5716667,221.5716667,0.029226696,0.010256343,0.039002608,0.042507998,0.020925208,0.015328148
4/28/2010 14:00,4/28/2010 14:30,0,23.045,984.5271,14.37449653,4.750040798,0.18628573,2022,400,101.7273711,48.855,-218.4488889,218.4488889,0.02658507,0.011315169,0.045610348,0.042248827,0.020294868,0.016487949
4/28/2010 14:30,4/28/2010 15:00,0,23.24,947.1658,14.62106892,4.501516355,0.1871739,1959,400,101.695959,48.095,-214.6013889,214.6013889,0.027019573,0.008552461,0.044268677,0.047007325,0.011379965,0.005853905
4/28/2010 15:00,4/28/2010 15:30,0,23.385,909.80444,15.32535767,4.273911684,0.18806207,1840,400,101.6645469,46.555,-210.7538889,210.7538889,0.033813986,0.007246616,0.04351727,0.036271036,0.001666231,0.004287336
4/28/2010 15:30,4/28/2010 16:00,0,23.34,841.7081,15.87970796,4.079609881,0.1921295,1705.5,400,101.6371817,44.86,-198.2097222,198.2097222,0.033813986,0.006928467,0.038947359,0.035600747,0,0.00861226
